"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","icao_code","iata_code","gps_code","local_code","coordinates"
"FMCZ","large_airport","Dzaoudzi Pamandzi International Airport","23","AF","YT","YT-U-A","Dzaoudzi","FMCZ","DZA","FMCZ","","-12.809319, 45.281815"
"KVGT","medium_airport","North Las Vegas Airport","2205","NA","US","US-NV","Las Vegas","KVGT","VGT","KVGT","VGT","36.209074, -115.193982"
"GT-0007","small_airport","Uaxactun Airport","573","NA","GT","GT-PE","Uaxactun","","UAX","MGUX","","17.393888, -89.632744"
"SJRG","small_airport","Rio Grande Regional Airport","27","SA","BR","BR-RS","Rio Grande","","RIG","SJRG","RS0013","-32.083065, -52.167184"
"EGHI","medium_airport","Southampton Airport","44","EU","GB","GB-ENG","Southampton","EGHI","SOU","EGHI","","50.950298, -1.3568"
"HBBO","small_airport","Kirundo Airport","4511","AF","BI","BI-KI","Kirundo","HBBO","KRE","HBBO","","-2.544772, 30.094575"
"SKNA","small_airport","La Macarena Airport","790","SA","CO","CO-MET","La Macarena","SKNA","LMC","SKNA","","2.17565, -73.78674"
"AYAG","small_airport","Agaun Airport","3200","OC","PG","PG-MBA","Agaun","AYAG","AUP","AYAG","AUN","-9.927715, 149.389951"
"URKG","medium_airport","Gelendzhik Airport","98","EU","RU","RU-KDA","Gelendzhik","URKG","GDZ","URKG","","44.5820926295, 38.0124807358"
"UHOO","medium_airport","Okhotsk Airport","45","AS","RU","RU-KHA","Okhotsk","UHOO","OHO","UHOO","","59.410065, 143.056503"
